Rk,Name,S,C,F,Yrs,From,To,ASG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,Name-additional
127,Christian Friedrich,S,-,-,3,2012,2015,0,5,16,.238,5.81,100,19,16,0,0,0,167.1,202,119,108,22,65,3,146,5,0,16,757,79,friedch01
128,Brian Fuentes,-,-,-,7,2002,2008,3,16,26,.381,3.38,428,0,243,0,0,115,410.1,337,166,154,39,171,17,470,37,1,23,1745,144,fuentbr01
129,Joshua Fuentes,S,C,F,1,2021,2021,0,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,,fuentjo01
130,Rico Garcia,S,-,-,1,2019,2019,0,0,1,.000,10.50,2,1,1,0,0,0,6.0,9,7,7,3,5,0,2,0,0,0,30,51,garciri01
131,Jon Garland,-,-,F,1,2013,2013,0,4,6,.400,5.82,12,12,0,0,0,0,68.0,85,45,44,9,23,3,32,2,0,4,303,77,garlajo01
132,Gonzalez Germen,-,-,F,2,2015,2016,0,2,1,.667,4.66,69,1,11,0,0,2,73.1,74,39,38,9,46,4,57,1,0,8,329,103,germego01
133,Lucas Gilbreath,S,C,F,3,2021,2024,0,5,2,.714,4.36,97,1,18,0,0,1,86.2,77,46,42,8,50,0,93,6,0,6,384,109,gilbrlu01
134,Chris Gissell,S,C,F,1,2004,2004,0,0,1,.000,14.54,5,1,2,0,0,0,8.2,20,14,14,4,3,0,11,0,0,1,48,35,gissech01
135,Mychal Givens,-,-,-,2,2020,2021,0,4,2,.667,3.69,41,0,11,0,0,1,39.0,34,19,16,9,18,2,40,4,0,4,166,134,givenmy01
136,Austin Gomber,-,-,F,4,2021,2024,0,28,35,.444,4.99,111,95,2,0,0,0,537.0,568,311,298,93,155,4,407,9,0,13,2280,95,gombeau01
137,Chi Chi González,-,-,-,3,2019,2021,0,5,15,.250,6.10,44,34,1,0,0,0,184.1,208,129,125,32,71,0,118,10,0,5,817,82,gonzach01
138,Édgar González,-,-,-,1,2011,2011,0,0,0,,9.00,1,0,1,0,0,0,2.0,5,2,2,0,1,0,1,0,0,0,11,59,gonzaed01
139,Lariel González,S,C,F,1,1998,1998,0,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,gonzala02
140,Tanner Gordon,S,C,F,1,2024,2024,0,0,6,.000,8.65,8,8,0,0,0,0,34.1,53,34,33,10,6,0,26,2,0,0,160,54,gordota01
141,Ashton Goudeau,S,-,F,3,2020,2022,0,3,1,.750,5.83,27,1,7,0,0,1,54.0,56,37,35,9,20,0,35,3,0,5,230,83,goudeas01
142,Joe Grahe,-,-,-,1,1995,1995,0,4,3,.571,5.08,17,9,0,0,0,0,56.2,69,42,32,6,27,2,27,3,2,3,265,106,grahejo01
143,Mark Grant,-,-,F,1,1993,1993,0,0,1,.000,12.56,14,0,6,0,0,1,14.1,23,20,20,4,6,1,8,0,0,2,68,39,grantma01
144,Jon Gray,S,-,-,7,2015,2021,0,53,49,.520,4.59,152,151,1,1,1,0,829.1,830,451,423,105,280,11,849,36,4,35,3556,107,grayjo02
145,Randal Grichuk,-,-,-,1,2022,2022,0,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,grichra01
146,Jason Grilli,-,-,-,2,2008,2009,0,3,3,.500,3.68,73,0,18,0,0,2,80.2,84,35,33,3,44,8,81,1,0,5,363,128,grillja01
147,Jason Gurka,S,-,-,2,2015,2016,0,0,0,,9.35,15,0,9,0,0,0,17.1,32,18,18,2,4,0,14,0,0,0,84,53,gurkaja01
148,Jeremy Guthrie,-,-,-,1,2012,2012,0,3,9,.250,6.35,19,15,0,0,0,0,90.2,122,72,64,21,31,2,45,7,1,1,422,73,guthrje01
149,John Habyan,-,-,F,1,1996,1996,0,1,1,.500,7.13,19,0,5,0,0,0,24.0,34,19,19,4,14,1,25,1,1,5,116,74,habyajo01
150,Luther Hackman,S,-,-,1,1999,1999,0,1,2,.333,10.69,5,3,0,0,0,0,16.0,26,19,19,5,12,0,10,0,0,0,84,55,hackmlu01
151,David Hale,-,-,-,2,2015,2016,0,5,5,.500,6.27,19,12,0,0,0,0,80.1,99,59,56,15,22,2,62,2,0,11,358,74,haleda02
152,Seth Halvorsen,S,C,F,1,2024,2024,0,2,0,1.000,0.00,8,0,4,0,0,0,8.2,4,1,0,0,0,0,8,1,0,0,29,,halvose01
153,Jason Hammel,-,-,-,3,2009,2011,0,27,30,.474,4.63,96,87,2,1,0,1,524.2,579,291,270,56,157,10,368,21,3,25,2280,100,hammeja01
154,Justin Hampson,S,-,-,1,2006,2006,0,1,0,1.000,7.50,5,1,0,0,0,0,12.0,19,10,10,3,5,0,9,1,0,1,60,67,hampsju01
155,Mike Hampton,-,-,-,2,2001,2002,1,21,28,.429,5.75,62,62,0,2,1,0,381.2,464,273,244,55,176,11,196,15,2,15,1742,88,hamptmi01
156,Brad Hand,-,-,-,1,2023,2023,0,3,1,.750,4.54,40,0,11,0,0,0,35.2,35,18,18,4,16,1,41,3,0,3,157,110,handbr01
157,Tim Harikkala,-,-,F,2,2004,2007,0,6,6,.500,4.91,56,1,11,0,0,0,66.0,64,37,36,10,24,5,32,1,1,0,281,101,harikti01
158,Mike Harkey,-,-,-,1,1994,1994,0,1,6,.143,5.79,24,13,3,0,0,0,91.2,125,61,59,10,35,4,39,1,2,0,415,86,harkemi01
159,Greg Harris,-,-,-,2,1993,1994,0,4,20,.167,6.60,42,32,2,1,0,1,203.1,242,161,149,37,82,7,122,9,4,9,924,75,harrigr02
160,Will Harris,S,-,-,1,2012,2012,0,1,1,.500,8.15,20,0,10,0,0,0,17.2,27,18,16,3,6,1,19,1,0,4,89,58,harriwi10
161,Geoff Hartlieb,-,-,F,1,2024,2024,0,0,0,,9.00,5,0,0,0,0,0,9.0,13,10,9,1,4,1,7,0,1,2,44,53,hartlge01
162,Joe Harvey,-,-,F,2,2019,2020,0,0,0,,3.97,13,0,4,0,0,0,11.1,10,5,5,2,6,0,8,2,0,0,50,136,harvejo01
163,Ryan Hawblitzel,S,C,F,1,1996,1996,0,0,1,.000,6.00,8,0,3,0,0,0,15.0,18,12,10,2,6,0,7,0,0,1,69,88,hawblry01
164,LaTroy Hawkins,-,-,-,3,2007,2015,0,8,9,.471,3.41,143,0,69,0,0,25,132.0,126,53,50,12,33,4,81,0,0,6,540,134,hawkila01
165,Butch Henry,-,-,-,1,1993,1993,0,2,8,.200,6.59,20,15,1,1,0,0,84.2,117,66,62,14,24,2,39,1,0,1,390,73,henrybu01
166,Matt Herges,-,-,F,3,2007,2009,0,9,5,.643,4.05,102,0,24,0,0,0,122.1,123,61,55,11,41,7,84,5,1,3,525,118,hergema01
167,Liván Hernández,-,-,-,1,2008,2008,0,3,3,.500,8.03,8,8,0,0,0,0,40.1,58,36,36,7,14,1,13,1,0,1,184,59,hernali01
168,Pedro Hernández,-,-,F,1,2014,2014,0,0,1,.000,4.76,1,1,0,0,0,0,5.2,6,3,3,0,2,0,2,1,0,0,24,95,hernape02
169,Bryan Hickerson,-,-,F,1,1995,1995,0,1,0,1.000,11.88,18,0,5,0,0,0,16.2,33,24,22,5,13,1,12,1,1,2,95,46,hickebr01
170,Jaden Hill,S,C,F,1,2024,2024,0,0,0,,3.60,5,0,1,0,0,0,5.0,4,2,2,1,0,0,3,1,0,0,19,136,hillja01
171,Jason Hirsh,-,-,F,2,2007,2008,0,5,7,.417,5.06,23,20,1,1,0,0,121.0,118,73,68,21,52,5,81,2,1,5,529,95,hirshja01
172,Jeff Hoffman,S,-,-,5,2016,2020,0,10,16,.385,6.40,68,38,9,0,0,1,230.2,267,178,164,46,107,7,197,10,0,13,1050,79,hoffmje02
173,Greg Holland,-,-,-,1,2017,2017,1,3,6,.333,3.61,61,0,58,0,0,41,57.1,40,24,23,7,26,1,70,1,0,7,235,140,hollagr01
174,Gavin Hollowell,S,C,F,2,2022,2023,0,2,2,.500,6.20,32,0,10,0,0,1,40.2,38,30,28,9,22,1,40,6,0,0,186,80,holloga01
175,Darren Holmes,-,-,-,5,1993,1997,0,23,13,.639,4.42,263,6,129,0,0,46,328.0,341,181,161,34,136,13,297,5,2,17,1441,116,holmeda01
176,Craig House,S,C,F,1,2000,2000,0,1,1,.500,7.24,16,0,3,0,0,0,13.2,13,11,11,3,17,0,8,2,0,0,69,82,housecr01
177,Sam Howard,S,-,-,2,2018,2019,0,2,0,1.000,5.87,24,0,7,0,0,0,23.0,26,17,15,5,13,0,24,4,0,2,111,89,howarsa01
178,Dakota Hudson,-,-,F,1,2024,2024,0,2,12,.143,6.17,18,18,0,0,0,0,89.0,99,66,61,11,50,0,49,5,0,3,404,75,hudsoda02
179,Bruce Hurst,-,-,-,1,1993,1993,0,0,1,.000,5.19,3,3,0,0,0,0,8.2,6,5,5,1,3,0,6,0,1,1,34,95,hurstbr01
180,Mark Hutton,-,-,-,1,1997,1997,0,0,1,.000,7.11,8,1,0,0,0,0,12.2,22,10,10,3,7,0,10,4,0,0,68,75,huttoma01
181,Mike James,-,-,F,1,2002,2002,0,0,0,,5.56,13,0,6,0,0,0,11.1,12,9,7,2,5,0,10,1,0,0,51,88,jamesmi01
182,Kevin Jarvis,-,-,-,2,2000,2004,0,3,4,.429,6.31,26,19,0,0,0,0,117.0,144,89,82,27,37,5,60,4,0,2,520,92,jarvike01
183,Jason Jennings,S,-,-,6,2001,2006,0,58,56,.509,4.74,156,156,0,6,3,0,941.0,1032,530,496,103,425,34,622,29,1,42,4180,103,jennija01
184,José Jiménez,-,-,-,4,2000,2003,0,15,23,.395,4.13,265,7,213,0,0,102,300.2,332,150,138,24,93,19,173,12,0,12,1316,126,jimenjo01
185,Ubaldo Jiménez,S,-,-,6,2006,2011,1,56,45,.554,3.66,138,137,0,8,3,0,851.0,722,375,346,55,371,26,773,42,4,49,3592,128,jimenub01
186,Alan Johnson,S,C,F,1,2011,2011,0,0,0,,9.00,1,1,0,0,0,0,4.0,6,5,4,0,3,0,3,0,0,1,20,55,johnsal02
187,DJ Johnson,S,-,-,2,2018,2019,0,1,2,.333,4.88,35,0,10,0,0,0,31.1,29,17,17,1,21,2,33,3,0,4,143,106,johnsdj01
188,Pierce Johnson,-,-,-,1,2023,2023,0,1,5,.167,6.00,43,0,26,0,0,13,39.0,47,28,26,7,25,1,58,0,0,3,188,83,johnspi01
189,Bobby Jones,S,-,-,3,1997,1999,0,14,19,.424,5.90,69,44,2,1,0,0,273.0,315,196,179,38,155,0,188,12,1,8,1272,92,jonesbo04
190,Todd Jones,-,-,-,2,2002,2003,0,2,8,.200,5.84,112,1,27,0,0,1,121.2,145,82,79,18,46,3,101,4,0,1,545,83,jonesto02
191,Jorge Julio,-,-,-,1,2007,2007,0,0,3,.000,3.93,58,0,9,0,0,0,52.2,50,25,23,6,20,1,50,1,0,5,221,123,juliojo01
192,Jair Jurrjens,-,-,F,1,2014,2014,0,0,1,.000,10.61,2,2,0,0,0,0,9.1,20,11,11,4,3,0,9,1,0,1,50,42,jurrjja01
193,Evan Justice,S,C,F,2,2023,2024,0,0,0,,8.22,10,0,2,0,0,0,7.2,14,7,7,0,9,0,8,1,0,2,44,65,justiev01
194,Tommy Kahnle,S,-,-,2,2014,2015,0,2,2,.500,4.41,90,0,15,0,0,2,102.0,82,61,50,10,59,3,102,1,0,10,440,100,kahnlto01
195,Scott Karl,-,-,-,1,2000,2000,0,2,3,.400,7.68,17,9,1,0,0,0,65.2,95,56,56,14,33,3,29,3,0,3,319,76,karlsc01
196,Karl Kauffmann,S,C,F,1,2023,2023,0,2,5,.286,8.23,11,3,3,0,0,0,35.0,42,34,32,5,16,0,16,4,0,1,158,61,kauffka01
197,Kyle Kendrick,-,-,-,1,2015,2015,0,7,13,.350,6.32,27,27,0,0,0,0,142.1,172,102,100,33,45,2,80,7,0,4,629,73,kendrky01
198,Joe Kennedy,-,-,-,2,2004,2005,0,13,15,.464,4.88,43,43,0,1,0,0,254.1,291,149,138,29,111,16,169,14,1,12,1147,100,kennejo04
199,Logan Kensing,-,-,-,1,2013,2013,0,0,0,,0.00,1,0,1,0,0,0,0.2,0,0,0,0,1,0,1,0,0,0,2,,kensilo01
200,Bobby Keppel,-,-,-,1,2007,2007,0,0,0,,11.25,4,0,1,0,0,0,4.0,6,5,5,1,3,0,1,0,0,0,20,46,keppebo01
201,Darryl Kile,-,-,-,2,1998,1999,0,21,30,.412,5.84,68,67,1,5,1,0,421.0,482,291,273,61,205,9,274,13,1,25,1908,94,kileda01
202,Byung-Hyun Kim,-,-,-,3,2005,2007,0,14,26,.350,5.33,70,50,5,0,0,0,309.0,341,192,183,37,136,16,246,23,2,16,1385,91,kimby01
203,Sun-Woo Kim,-,-,-,2,2005,2006,0,5,1,.833,5.97,18,8,1,1,1,0,60.1,73,41,40,9,21,0,42,2,0,4,273,81,kimsu01
204,Ray King,-,-,-,1,2006,2006,0,1,4,.200,4.43,67,0,7,0,0,1,44.2,56,26,22,6,20,0,23,2,0,3,199,111,kingra01
205,Tyler Kinley,-,-,F,5,2020,2024,0,10,10,.500,4.77,203,0,50,0,0,17,198.0,173,109,105,28,82,3,210,9,0,17,848,101,kinlety01
206,Mark Knudson,-,-,F,1,1993,1993,0,0,0,,22.24,4,0,2,0,0,0,5.2,16,14,14,4,5,0,3,0,0,2,39,23,knudsma01
207,Matt Koch,-,-,F,2,2023,2024,0,3,2,.600,5.77,41,1,10,0,0,1,39.0,44,26,25,8,10,0,27,2,0,0,168,87,kochma01
208,Marc Kroon,-,-,F,1,2004,2004,0,0,0,,6.00,6,0,1,0,0,0,6.0,7,4,4,1,10,0,3,0,0,1,32,86,kroonma01
209,Chad Kuhl,-,-,-,1,2022,2022,0,6,11,.353,5.72,27,27,0,1,1,0,137.0,155,91,87,25,58,1,110,5,0,5,617,81,kuhlch01
210,Aaron Laffey,-,-,F,1,2015,2015,0,1,0,1.000,3.68,3,0,0,0,0,0,7.1,8,3,3,1,3,1,3,1,0,0,33,131,laffeaa01
211,Peter Lambert,S,C,F,4,2019,2024,0,8,19,.296,6.28,74,35,8,0,0,0,243.2,297,177,170,45,95,5,181,13,0,11,1105,79,lambepe01
212,Dinelson Lamet,-,-,-,2,2022,2023,0,2,5,.286,8.28,35,4,6,0,0,0,45.2,52,44,42,8,32,0,60,4,1,7,221,59,lametdi01
213,Justin Lawrence,S,C,F,4,2021,2024,0,12,12,.500,5.28,179,0,63,0,0,14,191.0,196,127,112,17,108,6,184,15,0,8,865,91,lawreju01
214,David Lee,S,-,-,2,1999,2000,0,3,2,.600,4.45,43,0,14,0,0,1,54.2,53,30,27,7,35,1,44,5,1,3,247,132,leeda01
215,Curt Leskanic,S,-,-,7,1993,1999,0,31,20,.608,4.92,356,11,110,0,0,20,470.0,472,270,257,52,221,9,415,10,6,34,2060,108,leskacu01
216,Matt Lindstrom,-,-,-,1,2011,2011,0,2,2,.500,3.00,63,0,16,0,0,2,54.0,52,21,18,3,14,4,36,2,0,2,226,152,lindsma01
217,Boone Logan,-,-,-,3,2014,2016,0,4,11,.267,4.64,161,0,29,0,0,1,106.2,98,60,55,13,48,7,133,8,0,10,471,101,loganbo02
218,Aquilino López,-,-,-,1,2005,2005,0,0,0,,2.25,1,0,0,0,0,0,4.0,3,1,1,0,0,0,6,0,0,0,15,229,lopezaq01
219,Javier López,S,-,-,3,2003,2005,0,5,3,.625,5.61,142,0,22,0,0,1,101.0,110,64,63,6,38,6,61,7,3,4,442,89,lopezja02
220,Rodrigo López,-,-,-,1,2007,2007,0,5,4,.556,4.42,14,14,0,0,0,0,79.1,83,43,39,11,21,6,43,0,0,0,333,109,lopezro02
221,Wilton López,-,-,F,2,2013,2014,0,3,4,.429,4.63,79,0,29,0,0,0,81.2,106,43,42,9,18,4,52,1,3,0,357,97,lopezwi01
222,Sean Lowe,-,-,-,1,2002,2002,0,1,1,.500,8.71,8,0,0,0,0,0,10.1,16,13,10,1,7,0,7,0,0,0,53,57,lowese01
223,Jordan Lyles,-,-,-,4,2014,2017,0,13,16,.448,5.22,105,37,19,0,0,1,281.0,311,179,163,29,105,5,185,19,0,15,1242,88,lylesjo01
224,Jeff Manship,-,-,-,1,2013,2013,0,0,5,.000,7.04,11,4,3,0,0,0,30.2,37,25,24,6,12,1,18,0,0,0,139,64,manshje01
225,Germán Márquez,S,C,F,9,2016,2024,1,65,56,.537,4.42,177,174,0,4,2,0,1020.0,1007,536,501,142,306,13,986,32,4,55,4316,111,marquge01
226,Jason Marquis,-,-,-,1,2009,2009,1,15,13,.536,4.04,33,33,0,2,1,0,216.0,218,104,97,15,80,6,115,4,1,6,921,116,marquja01
227,Chris Martin,S,-,-,1,2014,2014,0,0,0,,6.89,16,0,1,0,0,0,15.2,22,12,12,2,4,0,14,0,2,1,69,63,martich02
228,Tom Martin,-,-,F,2,2006,2007,0,2,0,1.000,5.02,94,0,16,0,0,0,86.0,94,51,48,8,34,5,56,5,1,1,383,98,martito02
229,Nick Masset,-,-,-,1,2014,2014,0,2,0,1.000,5.80,51,0,14,0,0,0,45.0,56,31,29,3,24,0,36,5,0,2,211,74,masseni01
230,Tyler Matzek,S,-,-,2,2014,2015,0,8,12,.400,4.06,25,24,1,1,1,0,139.2,141,63,63,11,63,1,106,6,0,5,605,107,matzety01
231,Brent Mayne,-,-,-,1,2000,2000,0,1,0,1.000,0.00,1,0,1,0,0,0,1.0,1,0,0,0,1,0,0,0,0,1,5,,maynebr01
232,Zach McClellan,S,C,F,1,2007,2007,0,1,0,1.000,5.79,12,0,1,0,0,0,14.0,20,9,9,0,5,2,13,0,0,0,63,85,mccleza01
233,Jeff McCurry,-,-,-,1,1997,1997,0,1,4,.200,4.43,33,0,14,0,0,0,40.2,43,22,20,7,20,0,19,0,0,2,179,118,mccurje01
234,Chuck McElroy,-,-,-,2,1998,1999,0,9,5,.643,4.13,119,0,39,0,0,2,109.0,116,52,50,12,52,3,98,0,0,4,473,132,mcelrch01
235,Jake McGee,-,-,-,4,2016,2019,0,4,11,.267,4.78,225,0,57,0,0,19,195.2,209,112,104,34,59,3,178,9,1,14,841,104,mcgeeja01
236,Collin McHugh,-,-,-,1,2013,2013,0,0,3,.000,9.95,4,4,0,0,0,0,19.0,33,21,21,4,2,0,8,0,0,0,91,46,mchugco01
237,Nick Mears,-,-,-,2,2023,2024,0,1,5,.167,5.01,57,0,16,0,0,0,64.2,61,38,36,3,35,1,78,1,1,4,290,95,mearsni01
238,Tim Melville,-,-,F,1,2019,2019,0,2,3,.400,4.86,7,7,0,0,0,0,33.1,34,18,18,9,14,0,24,1,0,1,143,107,melviti01
239,Kent Mercker,-,-,-,1,2002,2002,0,3,1,.750,6.14,58,0,8,0,0,0,44.0,55,33,30,12,22,2,37,2,0,1,208,78,merckke01
240,José Mesa,-,-,-,1,2006,2006,0,1,5,.167,3.86,79,0,26,0,0,1,72.1,73,32,31,9,36,6,39,5,1,4,315,128,mesajo01
241,Dan Miceli,-,-,-,3,2001,2005,0,3,4,.429,4.55,55,0,10,0,0,1,59.1,61,33,30,10,27,1,54,2,0,2,266,112,micelda01
242,Jim Miller,-,-,-,1,2011,2011,0,0,0,,2.57,6,0,4,0,0,0,7.0,3,2,2,0,4,0,5,0,0,0,29,185,milleji02
243,Justin Miller,-,-,-,2,2015,2016,0,4,4,.500,4.97,74,0,22,0,0,1,76.0,71,42,42,8,31,0,83,2,1,5,323,96,milleju02
244,Matt Miller,S,-,-,1,2003,2003,0,0,0,,2.08,4,0,2,0,0,0,4.1,5,1,1,0,2,0,5,0,0,0,18,256,millema02
245,Kevin Millwood,-,-,-,1,2011,2011,0,4,3,.571,3.98,9,9,0,0,0,0,54.1,58,26,24,9,8,0,36,0,0,2,222,115,millwke01
246,Nate Minchey,-,-,F,1,1997,1997,0,0,0,,13.50,2,0,0,0,0,0,2.0,5,3,3,0,1,0,1,0,0,0,12,44,minchna01
247,Anthony Molina,S,C,F,1,2024,2024,0,1,1,.500,6.59,33,1,17,0,0,0,56.0,66,42,41,4,22,1,37,2,0,4,247,70,molinan01
248,Marcus Moore,S,-,-,2,1993,1994,0,4,2,.667,6.45,56,0,21,0,0,0,60.0,63,51,43,8,41,2,46,6,1,8,286,77,moorema01
249,David Moraga,-,-,F,1,2000,2000,0,0,0,,45.00,1,0,1,0,0,0,1.0,4,5,5,1,0,0,0,1,0,0,8,16,moragda01
250,Franklin Morales,S,-,-,6,2007,2014,0,13,20,.394,5.10,140,37,37,0,0,10,289.2,304,173,164,39,151,14,214,13,9,12,1307,88,moralfr01
251,Juan Morillo,S,-,-,3,2006,2008,0,0,0,,11.42,6,1,2,0,0,0,8.2,12,11,11,4,4,0,7,2,0,0,44,47,morilju01
252,Clayton Mortensen,-,-,-,1,2011,2011,0,2,4,.333,3.86,16,6,6,0,0,0,58.1,55,30,25,9,24,2,30,2,0,3,244,119,mortecl01
253,Guillermo Moscoso,-,-,-,1,2012,2012,0,3,2,.600,6.12,23,3,4,0,0,0,50.0,67,34,34,8,19,0,47,1,0,5,231,76,moscogu01
